电影名,状态,评分,星级,时长,上映时间,类型,制片国家,导演,演员,简介,评价人数
二手杰作,nowplaying,6.7,3.5,114分钟,2023-10-27(中国大陆),剧情/喜剧,中国大陆,王子昭,于和伟 / 郭麒麟 / 倪虹洁,这是一个关于“儿子‘死’了，爸爸‘红’了”的荒诞故事。儿子坠楼“自杀”，父亲替儿子写了一封才华横溢的代笔遗书，竟然一夜成名……,36928
吾爱敦煌,nowplaying,7.1,3.5,101分钟,2023-11-17(中国大陆)/2023-06-10(上海国际电影节),剧情/传记/历史,中国大陆,苗月,陈瑾 / 林永健 / 黄品沅,影片记述了“敦煌女儿”，国家荣誉称号获得者樊锦诗坚守大漠，守护世界宝藏莫高窟的壮丽人生故事。,2449
最后一夜,nowplaying,,,89分钟,2023-12-08(中国大陆)/2022-11-04(重庆青年电影展),剧情/爱情,中国大陆,唐皓,蒋中炜 / 蔡雪晴 / 王若珊,情人节，对于陈良古（蒋中炜 饰）来说不过是无数个工作日的其中一天，避开对自己爱理不理的妻子，躲到对自己关爱有加的情人家里享受片刻的温存，是他再平常不过的生活轨迹。然而今天，他却接二连三的遭遇意外，原来每个人都藏着一个冷暖自知的秘密，每个人都在茫然的摸索着生活的方向。车子在这喧嚣与宁静更迭交替的大都市里不断前行，却始终开不到目的地，正如他们在各自人生的地图上， 像个迷失方向的路盲。,
靠近我一点,nowplaying,4.1,2.0,94分钟,2023-11-24(中国大陆),爱情,中国大陆 中国香港,夏永康,张震 / 春夏 / 李现,等一个人很久会有结果吗？等了初恋男友10年的林楚楚（春夏 饰），最终等来的是男友和别人的婚礼。正当她对感情失去信心的时候，婚礼策划师张扬（张震 饰）和高富帅男神于可风（李现 饰）同时出现在楚楚的生活中，陪她走出了这段黑暗时光。,1166
铃芽之旅,nowplaying,7.2,4.0,122分钟(中国大陆),2023-03-24(中国大陆)/2022-11-11(日本),爱情/动画/奇幻,日本,新海诚,原菜乃华 / 松村北斗 / 深津绘里,宁静的九州乡间小镇，生活着平凡的少女岩户铃芽（原菜乃华 配音）。这天上学路上，她邂逅了神秘的白衣青年宗像草太（松村北斗 配音）。草太的言行举止引起了铃芽的好奇，她随着这个青年来到了一处废墟，并看到了一扇在水中央突兀伫立的门。懵懵懂懂，铃芽无意间解开了某个古老封印。在此之 后，一场地震突发，而偏偏只有铃芽才能看见地震前发生的诡异现象。随后这个惶恐的女孩才发现，草太原来是有着古老传承的闭门师，他巡游日本各地正是为了阻止更大的灾难发生。,422227
迷你特工队之汉堡大作战,nowplaying,,,,2023-11-11(中国大陆),动画/奇幻,中国大陆,,,蓝玲市正在面临空前危机。汉堡军团在城市街头四处作乱，破坏街道和建筑，让市民们苦不堪言，但迷你特工队却爆发了激烈的内部矛盾。这一切是由于队长福乐偶然成为了汉堡店的超级模特，难以兼顾迷你特工队的集体任务。小米与福乐为此爆发了激烈的争吵，福乐宣告退出迷你特工队，与伙伴们不欢而散。汉堡店的老板金先生更是从中作梗：“我认为好朋友之间，就应该互相鼓励支持。”在危机之际，福乐终于悔悟，重新加入战斗，迷你特工队得以再度集结并肩作战。联手击败汉堡怪物队长后，整起事件背后真正的幕后黑手也终于出现在迷你特工队面前……,
汪汪队立大功大电影2：超能大冒险,nowplaying,7.5,4.0,88分钟,2023-09-29(美国/中国大陆),剧情/喜剧/动作/科幻/动画/奇幻/冒险,美国 加拿大,卡尔·布伦克尔,麦肯娜·格瑞丝 / 塔拉吉·P·汉森 / 马尔赛·马丁,一颗陨石从天而降，汪汪队基地惨遭破坏，因祸得福的是，汪汪队通过陨石获得了超能力！变成超能狗狗！能随心飞的天天、有飞毛腿的阿奇、是万人迷的灰灰、会霹雳火的毛毛、成大力士的小砾、不怕风浪的路马……莱德队长还给汪汪队升级了全新的装备，并招募汪汪预备队的三只小狗，共同保护冒险湾！但与此同时，一位邪恶的科学家也盯上了陨石中的超能力，她联合了汪汪队的死对头海丁那市长，试图夺取汪汪队的超能力，并让更多的陨石撞上地球！汪汪队集体出动，勇敢狗狗，不怕困难！汪汪队能否再次拯救世界？,5155
最好的相遇,nowplaying,6.3,3.5,110分钟,2023-10-20(中国大陆)/2023-07-24(FIRST青年电影展),剧情/爱情,中国大陆,哈智超,金世佳 / 邱泽 / 张钧甯,人生失意的B超师曹卢医（金世佳 饰）经人介绍来到了东山庭院疗养院工作。在这里，曹卢医看到了另一个如世外桃源般不同寻常的世界，也结识了刘英俊（邱泽 饰）和吴燕子（张钧甯 饰）这一对特殊的恋人。他们笨拙却无比坚定的爱情慢慢改变了隐藏着秘密的曹卢医。而直到一场意外的降临，让所有人都陷入了艰难的抉择……,5123
千里送鹤,nowplaying,,,90分钟,2023-11-16(中国大陆)/2022-07-30(FIRST青年电影展),剧情/儿童,中国大陆,拉华加,周拉多杰 / 朋毛样专 / 尕斗扎西,影片讲述了一个青海高原藏区村落，少年多杰和姐姐格桑与奶奶一同生活。早年失去妈妈的姐弟俩渴望获父亲的陪伴，但父亲一直在外忙碌，很少回家。一天，姐弟俩偶遇一只受伤的小黑颈鹤，善良的他们将其带回家照顾。冬季将至，没有亲鸟的带领，小鹤无法完成迁徙，姐弟俩决定骑摩托送它前往云南越冬地。而父亲听闻孩子们擅自离家，也立刻南下寻找。这趟艰险的旅途，注定将是一家三口的成长之旅，促使他们重新审视亲情的涵义……,
我是哪吒2之英雄归来,nowplaying,2.4,1.5,85分钟,2023-09-29(中国大陆),剧情/喜剧/动画/奇幻,中国大陆,文帝 陈朝意 ,王薇 / 藤新 / 傅晨阳,陈塘关大战后哪吒和龙王三太子同归于尽，太乙真人将哪吒的仙体带回乾元山，等待时机将哪吒重生来帮助姜子牙封神伐纣。在重生的紧要关头哪吒却落入申公豹和东海龙王精心布置好的巨大阴谋之中。哪吒能否打破申公豹的魔咒？能否成为真正的英雄？哪吒艰难的重生之路即将开启，英雄归来之战一触即发……,4059
贝肯熊：火星任务,nowplaying,7.2,3.5,96分钟,2023-09-28(中国大陆),喜剧/科幻/动画/冒险,中国大陆,王超 ,梁晓强 / 巴赫 / 张东,最倒霉的特工贝肯熊，为了重获认可，偷偷混入火星任务，不料却闯进了火星里的神秘世界，和要抓捕的火星怪物成为了朋友。在特工荣誉和友情之间，他将面临一场前所未有的考验。,3610
